Plasmid	End1	End2	Chromosome	Start	End	Length
VTP1759	g2	b2	chromosome_3	704038	736820	32783
VTP1759	g2	b3	chromosome_3	704038	736831	32794
VTP1760	g1	b2	chromosome_12	7985504	8019920	34417
VTP1760	g1	b3	chromosome_12	7985504	8019920	34417
VTP1760	g2	b2	chromosome_12	7985503	8019920	34418
VTP1760	g2	b3	chromosome_12	7985503	8019920	34418
VTP1761	g1	b2	chromosome_2	6158884	6192697	33814
VTP1761	g1	b3	chromosome_2	6158884	6192666	33783
VTP1761	g2	b2	chromosome_2	6158895	6192697	33803
VTP1761	g2	b3	chromosome_2	6158895	6192666	33772
VTP1762	b2	g1	chromosome_7	6111389	6136734	25346
VTP1762	b2	g2	chromosome_7	6111389	6136732	25344
VTP1762	b3	g1	chromosome_7	6111405	6136734	25330
VTP1762	b3	g2	chromosome_7	6111405	6136732	25328
VTP1764	b2	g1	chromosome_6	5583273	5618159	34887
VTP1764	b3	g1	chromosome_6	5583281	5618159	34879
VTP1765	b2	g1	chromosome_9	1531927	1569634	37708
VTP1765	b2	g2	chromosome_9	1531927	1569625	37699
VTP1765	b3	g1	chromosome_9	1531966	1569634	37669
VTP1765	b3	g2	chromosome_9	1531966	1569625	37660
VTP1766	b2	g1	chromosome_11	2385641	2420714	35074
VTP1766	b2	g2	chromosome_11	2385641	2420702	35062
VTP1766	b3	g1	chromosome_11	2385635	2420714	35080
VTP1766	b3	g2	chromosome_11	2385635	2420702	35068
VTP1768	b2	g2	chromosome_16	3679493	3714928	35436
VTP1768	g1	g2	chromosome_16	3713068	3714928	1861
VTP1769	g1	b2	chromosome_9	516438	555814	39377
VTP1769	g1	b3	chromosome_9	516438	555516	39079
VTP1770	b2	g1	chromosome_9	7461302	7492638	31337
VTP1770	b2	g2	chromosome_9	7461302	7492637	31336
VTP1770	b3	g1	chromosome_9	7461303	7492638	31336
VTP1770	b3	g2	chromosome_9	7461303	7492637	31335
VTP1771	b2	g1	chromosome_11	1620465	1651301	30837
VTP1771	b3	g1	chromosome_11	1620461	1651301	30841
VTP1772	g1	b2	chromosome_9	3156784	3192038	35255
VTP1772	g1	b3	chromosome_9	3156784	3191990	35207
VTP1772	g2	b2	chromosome_9	3156785	3192038	35254
VTP1772	g2	b3	chromosome_9	3156785	3191990	35206
VTP1773	b2	g1	chromosome_3	5742429	5778704	36276
VTP1773	b2	g2	chromosome_3	5742429	5778701	36273
VTP1773	b3	g1	chromosome_3	5742427	5778704	36278
VTP1773	b3	g2	chromosome_3	5742427	5778701	36275
VTP1774	b2	g1	chromosome_16	1329253	1365440	36188
VTP1774	b2	g2	chromosome_16	1329253	1365439	36187
VTP1774	b3	g1	chromosome_16	1329270	1365440	36171
VTP1774	b3	g2	chromosome_16	1329270	1365439	36170
VTP1775	g1	b2	chromosome_13	3115854	3153530	37677
VTP1775	g1	b3	chromosome_13	3115854	3153532	37679
VTP1775	g2	b2	chromosome_13	3115865	3153530	37666
VTP1775	g2	b3	chromosome_13	3115865	3153532	37668
VTP1776	g1	b2	chromosome_12	4692256	4715947	23692
VTP1776	g2	b2	chromosome_12	4688283	4715947	27665
VTP1777	g1	b2	chromosome_12	6153267	6191463	38197
VTP1777	g1	b3	chromosome_12	6153267	6191439	38173
VTP1777	g2	b2	chromosome_12	6153278	6191463	38186
VTP1777	g2	b3	chromosome_12	6153278	6191439	38162
VTP1779	g1	b2	chromosome_12	3548318	3582764	34447
VTP1779	g1	b3	chromosome_12	3548318	3582800	34483
VTP1779	g2	b2	chromosome_12	3548377	3582764	34388
VTP1779	g2	b3	chromosome_12	3548377	3582800	34424
VTP1780	b2	g1	chromosome_3	8833592	8870088	36497
VTP1780	b2	g2	chromosome_3	8833592	8870077	36486
VTP1780	b3	g1	chromosome_3	8833559	8870088	36530
VTP1780	b3	g2	chromosome_3	8833559	8870077	36519
VTP1781	g1	b2	chromosome_2	3306034	3345612	39579
VTP1781	g1	b3	chromosome_2	3306034	3345602	39569
VTP1783	b2	g1	chromosome_11	3026547	3066768	40222
VTP1783	b2	g2	chromosome_11	3026547	3066789	40243
VTP1784	g1	b2	chromosome_10	1796843	1834895	38053
VTP1784	g1	b3	chromosome_10	1796843	1834852	38010
VTP1784	g2	b2	chromosome_10	1796852	1834895	38044
VTP1784	g2	b3	chromosome_10	1796852	1834852	38001
VTP1785	b2	g1	chromosome_2	546136	584870	38735
VTP1785	b2	g2	chromosome_2	546136	584859	38724
VTP1785	b3	g1	chromosome_2	546134	584870	38737
VTP1785	b3	g2	chromosome_2	546134	584859	38726
VTP1786	b2	g1	chromosome_17	3267107	3294391	27285
VTP1786	b2	g2	chromosome_17	3267107	3294391	27285
VTP1786	b3	g1	chromosome_17	3267083	3294391	27309
VTP1786	b3	g2	chromosome_17	3267083	3294391	27309
VTP1789	g1	b2	chromosome_13	2023804	2058215	34412
VTP1789	g1	b3	chromosome_13	2023804	2058211	34408
VTP1789	g2	b2	chromosome_13	2023804	2058215	34412
VTP1789	g2	b3	chromosome_13	2023804	2058211	34408
VTP1790	g1	b2	chromosome_7	4840708	4876122	35415
VTP1790	g1	b3	chromosome_7	4840708	4876124	35417
VTP1790	g2	b2	chromosome_7	4840711	4876122	35412
VTP1790	g2	b3	chromosome_7	4840711	4876124	35414
VTP1792	g1	b2	chromosome_2	3885673	3921832	36160
VTP1793	g1	b2	chromosome_12	267886	300294	32409
VTP1793	g1	b3	chromosome_12	267886	300335	32450
VTP1793	g2	b2	chromosome_12	267889	300294	32406
VTP1793	g2	b3	chromosome_12	267889	300335	32447
VTP1794	b2	g1	chromosome_2	7337871	7369362	31492
VTP1794	b2	g2	chromosome_2	7337871	7369352	31482
VTP1794	b3	g1	chromosome_2	7337815	7369362	31548
VTP1794	b3	g2	chromosome_2	7337815	7369352	31538
VTP1796	g1	b2	chromosome_15	259794	289469	29676
VTP1796	g2	b2	chromosome_15	259805	289469	29665
VTP1797	b2	g1	chromosome_13	4349997	4383245	33249
VTP1797	b2	g2	chromosome_13	4349997	4383230	33234
VTP1797	b3	g1	chromosome_13	4349964	4383245	33282
VTP1797	b3	g2	chromosome_13	4349964	4383230	33267
VTP1798	b2	g1	chromosome_3	2898187	2935621	37435
VTP1798	b2	g2	chromosome_3	2898187	2935625	37439
VTP1798	b3	g1	chromosome_3	2898188	2935621	37434
VTP1798	b3	g2	chromosome_3	2898188	2935625	37438
VTP1799	b2	g1	chromosome_2	2710324	2751247	40924
VTP1799	b2	g2	chromosome_2	2710324	2751233	40910
VTP1799	b3	g1	chromosome_2	2710319	2751247	40929
VTP1799	b3	g2	chromosome_2	2710319	2751233	40915
VTP1800	g1	b2	chromosome_10	4560957	4595524	34568
VTP1800	g1	b3	chromosome_10	4560957	4595571	34615
VTP1801	b2	g1	chromosome_17	5310658	5352935	42278
VTP1802	g1	b2	chromosome_9	312198	392521	80324
VTP1802	g1	b3	chromosome_9	312198	392614	80417
VTP1802	g2	b2	chromosome_9	351325	392521	41197
VTP1802	g2	b3	chromosome_9	351325	392614	41290
VTP1803	b2	g1	chromosome_1	5708302	5739365	31064
VTP1803	b2	g2	chromosome_1	5708302	5739363	31062
VTP1803	b3	g1	chromosome_1	5708201	5739365	31165
VTP1803	b3	g2	chromosome_1	5708201	5739363	31163
VTP1804	b2	g1	chromosome_1	58287	100496	42210
VTP1804	b3	g1	chromosome_1	58213	100496	42284
VTP1805	b2	g1	chromosome_9	139642	182688	43047
VTP1805	b2	g2	chromosome_9	139642	182688	43047
VTP1805	b3	g1	chromosome_9	139556	182688	43133
VTP1805	b3	g2	chromosome_9	139556	182688	43133
VTP1806	g1	b2	chromosome_6	3803740	3843704	39965
VTP1806	g1	b3	chromosome_6	3803740	3843775	40036
VTP1806	g2	b2	chromosome_6	3803738	3843704	39967
VTP1806	g2	b3	chromosome_6	3803738	3843775	40038
VTP1807	b2	g1	chromosome_3	23970	57550	33581
VTP1807	b2	g2	chromosome_3	23970	57538	33569
VTP1807	b3	g1	chromosome_3	23920	57550	33631
VTP1807	b3	g2	chromosome_3	23920	57538	33619
VTP1808	b2	g1	chromosome_6	2078285	2108308	30024
VTP1808	b2	g2	chromosome_6	2078285	2108300	30016
VTP1809	g1	b2	chromosome_6	8930843	8961443	30601
VTP1809	g1	b3	chromosome_6	8930843	8961484	30642
VTP1809	g2	b2	chromosome_6	8930919	8961443	30525
VTP1809	g2	b3	chromosome_6	8930919	8961484	30566
VTP1810	g1	b2	chromosome_9	626359	667182	40824
VTP1810	g1	b3	chromosome_9	626359	667274	40916
VTP1810	g2	b2	chromosome_9	626371	667182	40812
VTP1810	g2	b3	chromosome_9	626371	667274	40904
VTP1811	g1	b2	chromosome_16	2175149	2211855	36707
VTP1811	g1	b3	chromosome_16	2175149	2211943	36795
VTP1813	g1	b2	chromosome_6	7381719	7422812	41094
VTP1813	g1	b3	chromosome_6	7381719	7422904	41186
VTP1813	g2	b2	chromosome_6	7381721	7422812	41092
VTP1813	g2	b3	chromosome_6	7381721	7422904	41184
VTP1814	b2	g1	chromosome_14	450660	480683	30024
VTP1814	b2	g2	chromosome_14	450660	480676	30017
VTP1814	b3	g1	chromosome_14	450566	480683	30118
VTP1814	b3	g2	chromosome_14	450566	480676	30111
VTP1815	g1	b2	chromosome_12	3271524	3310537	39014
VTP1815	g1	b3	chromosome_12	3271524	3310617	39094
VTP1815	g2	b2	chromosome_12	3271528	3310537	39010
VTP1815	g2	b3	chromosome_12	3271528	3310617	39090
VTP1817	g1	b2	chromosome_14	1287837	1325282	37446
VTP1817	g1	b3	chromosome_14	1287837	1325287	37451
VTP1818	g1	b3	chromosome_11	3364653	3397543	32891
VTP1818	g2	b3	chromosome_11	3364721	3397543	32823
VTP1819	b2	g1	chromosome_3	718000	749718	31719
VTP1819	b2	g2	chromosome_3	718000	749709	31710
VTP1819	b3	g1	chromosome_3	718084	749718	31635
VTP1819	b3	g2	chromosome_3	718084	749709	31626
VTP1821	g1	b2	chromosome_9	223936	266094	42159
VTP1821	g2	b2	chromosome_9	223939	266094	42156
VTP1822	g1	b2	chromosome_2	5962023	5998391	36369
VTP1822	g1	b3	chromosome_2	5962023	5998442	36420
VTP1822	g2	b2	chromosome_2	5962089	5998391	36303
VTP1822	g2	b3	chromosome_2	5962089	5998442	36354
VTP1823	b2	g1	chromosome_3	1533127	1565424	32298
VTP1823	b3	g1	chromosome_3	1533064	1565424	32361
VTP1824	b2	g1	chromosome_12	9669285	9704015	34731
VTP1824	b3	g1	chromosome_12	9669239	9704015	34777
VTP1922	b1	g1	chromosome_15	253387	284190	30804
VTP1922	b1	g2	chromosome_15	253387	284180	30794
VTP1923	b1	g1	chromosome_9	4249126	4284986	35861
VTP1924	g1	b1	chromosome_5	1606415	1624445	18031
VTP1925	g1	b1	chromosome_16	3771514	3811100	39587
VTP1925	g1	b2	chromosome_16	3771514	3810869	39356
VTP1926	g1	b1	chromosome_5	2795155	2833115	37961
VTP1926	g2	b1	chromosome_5	2795163	2833115	37953
VTP1928	g1	b1	chromosome_1	7101819	7138351	36533
VTP1928	g1	b2	chromosome_1	7101819	7138326	36508
VTP1931	b1	g1	chromosome_12	8800310	8839995	39686
VTP1932	b1	g1	chromosome_10	641318	680248	38931
VTP1932	b1	g2	chromosome_10	641318	680244	38927
VTP1933	g1	b1	chromosome_6	1461923	1501853	39931
VTP1934	g1	b1	chromosome_10	2035840	2078114	42275
VTP1934	g1	b2	chromosome_10	2035840	2078163	42324
VTP1934	g2	b1	chromosome_10	2035840	2078114	42275
VTP1934	g2	b2	chromosome_10	2035840	2078163	42324
VTP1936	b1	g1	chromosome_1	7675278	7711368	36091
VTP1936	b1	g2	chromosome_1	7675278	7711270	35993
VTP1936	b2	g1	chromosome_1	7675229	7711368	36140
VTP1936	b2	g2	chromosome_1	7675229	7711270	36042
VTP1937	g1	b1	chromosome_6	149590	181953	32364
VTP1937	g1	b2	chromosome_6	149590	181978	32389
VTP1937	g2	b1	chromosome_6	149589	181953	32365
VTP1937	g2	b2	chromosome_6	149589	181978	32390
VTP1939	g1	b1	chromosome_3	8400028	8401401	1374
VTP1940	g1	b1	chromosome_2	9129756	9161816	32061
VTP1940	g1	b2	chromosome_2	9129756	9161857	32102
VTP1941	b1	g1	chromosome_10	3752035	3791226	39192
VTP1943	g1	b1	chromosome_10	929211	972948	43738
VTP1943	g1	b2	chromosome_10	929211	973026	43816
VTP1943	g2	b1	chromosome_10	929220	972948	43729
VTP1943	g2	b2	chromosome_10	929220	973026	43807
VTP1944	g1	b1	chromosome_3	6221577	6256826	35250
VTP1944	g1	b2	chromosome_3	6221577	6256880	35304
VTP1945	g1	b1	chromosome_10	682396	713796	31401
VTP1945	g1	b2	chromosome_10	682396	713837	31442
VTP1945	g2	b1	chromosome_10	682404	713796	31393
VTP1945	g2	b2	chromosome_10	682404	713837	31434
VTP1946	b1	g1	chromosome_12	5478200	5512350	34151
VTP1946	b1	g2	chromosome_12	5478200	5512231	34032
VTP1947	g1	b1	chromosome_9	2853957	2880047	26091
VTP1947	g1	b2	chromosome_9	2853957	2880093	26137
VTP1949	b2	g1	chromosome_2	6443090	6476003	32914
VTP1950	g1	b1	chromosome_3	5763561	5793061	29501
VTP1951	g1	b1	chromosome_17	4534774	4571662	36889
VTP1951	g1	b2	chromosome_17	4534774	4571615	36842
VTP1953	g1	b1	chromosome_16	4615427	4651384	35958
VTP1953	g1	b2	chromosome_16	4615427	4651384	35958
VTP1954	b1	g1	chromosome_2	541709	577769	36061
VTP1954	b2	g1	chromosome_2	541659	577769	36111
VTP1955	g1	b1	chromosome_6	7820491	7861284	40794
VTP1955	g1	b2	chromosome_6	7820491	7861335	40845
VTP1955	g2	b1	chromosome_6	7820545	7861284	40740
VTP1955	g2	b2	chromosome_6	7820545	7861335	40791
VTP1956	g1	b1	chromosome_9	5318295	5361483	43189
VTP1956	g1	b2	chromosome_9	5318295	5361466	43172
VTP1956	g2	b1	chromosome_9	5318348	5361483	43136
VTP1956	g2	b2	chromosome_9	5318348	5361466	43119
VTP1958	b1	g1	chromosome_2	6693710	6731267	37558
VTP1958	b1	g2	chromosome_2	6693710	6731261	37552
VTP1958	b2	g1	chromosome_2	6693663	6731267	37605
VTP1958	b2	g2	chromosome_2	6693663	6731261	37599
VTP1960	b1	g1	chromosome_3	509413	552574	43162
VTP1961	g1	b1	chromosome_4	2315228	2345314	30087
VTP1962	g1	b1	chromosome_4	2619503	2661745	42243
VTP1962	g1	b2	chromosome_4	2619503	2661797	42295
VTP1962	g2	b1	chromosome_4	2619510	2661745	42236
VTP1962	g2	b2	chromosome_4	2619510	2661797	42288
VTP1963	g1	b1	chromosome_13	5193639	5206065	12427
VTP1963	g1	b2	chromosome_13	5193639	5202380	8742
VTP1963	g2	b1	chromosome_13	5193638	5206065	12428
VTP1963	g2	b2	chromosome_13	5193638	5202380	8743
VTP1965	b1	g1	chromosome_9	7173366	7208718	35353
VTP1967	g1	b1	chromosome_1	6187217	6226829	39613
VTP1967	g1	b2	chromosome_1	6187217	6226875	39659
VTP1967	g2	b1	chromosome_1	6187225	6226829	39605
VTP1967	g2	b2	chromosome_1	6187225	6226875	39651
VTP1968	b1	g1	chromosome_16	5299869	5333335	33467
VTP1968	b2	g1	chromosome_16	5299867	5333335	33469
VTP1969	g1	b1	chromosome_12	8655286	8689957	34672
VTP1970	b1	g1	chromosome_4	4021405	4061526	40122
VTP1970	b1	g2	chromosome_4	4021405	4061527	40123
VTP1970	b2	g1	chromosome_4	4021429	4061526	40098
VTP1970	b2	g2	chromosome_4	4021429	4061527	40099
VTP1971	b1	g1	chromosome_10	2171378	2207329	35952
VTP1971	b2	g1	chromosome_10	2171193	2207329	36137
VTP1972	g1	b1	chromosome_16	1026006	1068234	42229
VTP1972	g1	b2	chromosome_16	1026006	1068300	42295
VTP1974	b1	g1	chromosome_17	1363269	1402874	39606
VTP1974	b1	g2	chromosome_17	1363269	1402864	39596
VTP1974	b2	g1	chromosome_17	1363268	1402874	39607
VTP1974	b2	g2	chromosome_17	1363268	1402864	39597
VTP1975	b1	g1	chromosome_7	5342458	5382076	39619
VTP1975	b2	g1	chromosome_7	5342444	5382076	39633
VTP1978	g1	b1	chromosome_6	7692478	7724115	31638
VTP1978	g1	b2	chromosome_6	7692478	7724179	31702
VTP1978	g2	b1	chromosome_6	7692493	7724115	31623
VTP1978	g2	b2	chromosome_6	7692493	7724179	31687
VTP1979	b1	g1	chromosome_4	2771337	2813027	41691
VTP1980	g1	b1	chromosome_12	5734404	5773352	38949
VTP1980	g2	b1	chromosome_12	5734408	5773352	38945
VTP1981	b1	g1	chromosome_10	4285131	4324756	39626
VTP1981	b1	g2	chromosome_10	4285131	4324743	39613
VTP1981	b2	g1	chromosome_10	4285076	4324756	39681
VTP1981	b2	g2	chromosome_10	4285076	4324743	39668
VTP1982	g1	b1	chromosome_4	1070766	1119273	48508
VTP1982	g1	b2	chromosome_4	1070766	1119272	48507
VTP1982	g2	b1	chromosome_4	1070766	1119273	48508
VTP1982	g2	b2	chromosome_4	1070766	1119272	48507
VTP1983	b1	g1	chromosome_9	3006352	3040960	34609
VTP1983	b1	g2	chromosome_9	3006352	3040952	34601
VTP1983	b2	g1	chromosome_9	3006296	3040960	34665
VTP1983	b2	g2	chromosome_9	3006296	3040952	34657
VTP1984	b1	g1	chromosome_6	5289770	5326714	36945
VTP1984	b1	g2	chromosome_6	5289770	5326699	36930
VTP1984	b2	g1	chromosome_6	5289732	5326714	36983
VTP1984	b2	g2	chromosome_6	5289732	5326699	36968
VTP1985	b1	g1	chromosome_4	1201032	1233754	32723
VTP1986	b1	g1	chromosome_14	3559649	3598717	39069
VTP1988	g1	b1	chromosome_9	1429859	1469161	39303
VTP1988	g1	b2	chromosome_9	1429859	1469217	39359
VTP1988	g2	b1	chromosome_9	1429868	1469161	39294
VTP1988	g2	b2	chromosome_9	1429868	1469217	39350
VTP1989	b1	g1	scaffold_21	20605	53666	33062
VTP1989	b2	g1	scaffold_21	20560	53666	33107
VTP1990	g1	b1	chromosome_7	1153416	1193545	40130
VTP1990	g1	b2	chromosome_7	1153416	1193578	40163
VTP1990	g2	b1	chromosome_7	1153416	1193545	40130
VTP1990	g2	b2	chromosome_7	1153416	1193578	40163
VTP1991	g1	b1	chromosome_16	2495487	2537659	42173
VTP1991	g1	b2	chromosome_16	2495487	2537716	42230
VTP1991	g2	b1	chromosome_16	2495494	2537659	42166
VTP1991	g2	b2	chromosome_16	2495494	2537716	42223
VTP1992	g1	b1	chromosome_4	724105	750876	26772
VTP1992	g1	b2	chromosome_4	724105	750924	26820
VTP1992	g2	b1	chromosome_4	715397	750876	35480
VTP1992	g2	b2	chromosome_4	715397	750924	35528
VTP1994	g1	b1	chromosome_12	2318580	2359215	40636
VTP1994	g1	b2	chromosome_12	2318580	2359260	40681
VTP1995	b1	g1	chromosome_1	7453283	7484312	31030
VTP1995	b1	g2	chromosome_1	7453283	7484292	31010
VTP1995	b2	g1	chromosome_1	7453224	7484312	31089
VTP1995	b2	g2	chromosome_1	7453224	7484292	31069
VTP1996	b1	g1	chromosome_2	5218977	5254738	35762
VTP1996	b1	g2	chromosome_2	5218977	5254723	35747
VTP1996	b2	g1	chromosome_2	5218931	5254738	35808
VTP1996	b2	g2	chromosome_2	5218931	5254723	35793
VTP1998	g1	b1	chromosome_3	7881149	7910797	29649
VTP1998	g1	b2	chromosome_3	7881149	7910835	29687
VTP1998	g2	b1	chromosome_3	7881145	7910797	29653
VTP1998	g2	b2	chromosome_3	7881145	7910835	29691
VTP1999	b1	g1	chromosome_1	2122724	2158698	35975
VTP1999	b1	g2	chromosome_1	2122724	2158687	35964
VTP1999	b2	g1	chromosome_1	2122670	2158698	36029
VTP1999	b2	g2	chromosome_1	2122670	2158687	36018
VTP2000	g1	b1	chromosome_12	4666520	4690333	23814
VTP2000	g1	b2	chromosome_12	4666520	4691503	24984
VTP2000	g2	b1	chromosome_12	4666520	4690333	23814
VTP2000	g2	b2	chromosome_12	4666520	4691503	24984
VTP2001	g1	b1	chromosome_1	2607618	2644041	36424
VTP2001	g2	b1	chromosome_1	2607623	2644041	36419
VTP2003	b1	g1	chromosome_3	8543910	8574785	30876
VTP2003	b2	g1	chromosome_3	8543875	8574785	30911
VTP2004	b1	g1	chromosome_9	380372	419458	39087
VTP2004	b1	g2	chromosome_9	380372	419449	39078
VTP2005	b1	g1	chromosome_6	7519053	7554561	35509
VTP2005	b1	g2	chromosome_6	7519053	7554558	35506
VTP2005	b2	g1	chromosome_6	7519052	7554561	35510
VTP2005	b2	g2	chromosome_6	7519052	7554558	35507
VTP2006	g1	b1	chromosome_10	5478241	5515687	37447
VTP2006	g1	b2	chromosome_10	5478241	5515680	37440
VTP2006	g2	b1	chromosome_10	5478250	5515687	37438
VTP2006	g2	b2	chromosome_10	5478250	5515680	37431
VTP2007	b1	g1	chromosome_1	3383801	3423021	39221
VTP2007	b2	g1	chromosome_1	3383744	3423021	39278
VTP2009	g1	g2	chromosome_11	224	3826740	3826517
VTP2010	b1	g1	chromosome_12	8248810	8283769	34960
VTP2010	b2	g1	chromosome_12	8248810	8283769	34960
VTP2011	b1	g1	chromosome_9	4668257	4702174	33918
VTP2011	b2	g1	chromosome_9	4668333	4702174	33842
VTP2012	g1	b1	chromosome_3	6771053	6833763	62711
VTP2012	g1	b2	chromosome_3	6771053	6833805	62753
VTP2012	g2	b1	chromosome_3	6771061	6833763	62703
VTP2012	g2	b2	chromosome_3	6771061	6833805	62745
VTP2013	g1	b1	chromosome_16	2413326	2452293	38968
VTP2013	g1	b2	chromosome_16	2413326	2452344	39019
VTP2013	g2	b1	chromosome_16	2413331	2452293	38963
VTP2013	g2	b2	chromosome_16	2413331	2452344	39014
VTP2014	b1	g1	chromosome_8	1398749	1432127	33379
VTP2014	b1	g2	chromosome_8	1398749	1432128	33380
VTP2015	g1	b1	chromosome_6	5003822	5037160	33339
VTP2015	g1	b2	chromosome_6	5003822	5037190	33369
VTP2015	g2	b1	chromosome_6	5003827	5037160	33334
VTP2015	g2	b2	chromosome_6	5003827	5037190	33364
VTP2016	b1	g1	chromosome_16	2101364	2138819	37456
VTP2016	b1	g2	chromosome_16	2101364	2127950	26587
VTP2018	b1	g1	chromosome_1	4198243	4233070	34828
VTP2018	b1	g2	chromosome_1	4198243	4233067	34825
VTP2018	b2	g1	chromosome_1	4198212	4233070	34859
VTP2018	b2	g2	chromosome_1	4198212	4233067	34856
VTP2019	b1	g1	chromosome_2	36875	70239	33365
VTP2019	b1	g2	chromosome_2	36875	70233	33359
VTP2019	b2	g1	chromosome_2	36890	70239	33350
VTP2019	b2	g2	chromosome_2	36890	70233	33344
VTP2020	g1	b2	chromosome_1	6370539	6405518	34980
VTP2020	g2	b2	chromosome_1	6370599	6405518	34920
VTP2021	g1	b1	chromosome_11	825155	859975	34821
VTP2021	g1	b2	chromosome_11	825155	860038	34884
VTP2021	g2	b1	chromosome_11	825164	859975	34812
VTP2021	g2	b2	chromosome_11	825164	860038	34875
VTP2023	b1	g1	chromosome_1	4179605	4213643	34039
VTP2024	g1	b1	chromosome_2	8278264	8310277	32014
VTP2024	g1	b2	chromosome_2	8278264	8310269	32006
VTP2026	g1	b1	chromosome_8	3902222	3936264	34043
VTP2026	g2	b1	chromosome_8	3902234	3936264	34031
VTP2028	b1	g1	chromosome_10	1584930	1621720	36791
VTP2028	b1	g2	chromosome_10	1584930	1621707	36778
VTP2028	b2	g1	chromosome_10	1584858	1621720	36863
VTP2028	b2	g2	chromosome_10	1584858	1621707	36850
VTP2029	b1	g1	chromosome_13	4487097	4495641	8545
VTP2029	b1	g2	chromosome_13	4487097	4495631	8535
VTP2029	b2	g1	chromosome_13	4487186	4495641	8456
VTP2029	b2	g2	chromosome_13	4487186	4495631	8446
VTP2030	g1	b1	chromosome_4	1896489	1930233	33745
VTP2030	g1	b2	chromosome_4	1896489	1930284	33796
VTP2030	g2	b1	chromosome_4	1896492	1930233	33742
VTP2030	g2	b2	chromosome_4	1896492	1930284	33793
VTP2031	b1	g1	chromosome_6	8052840	8086472	33633
VTP2031	b2	g1	chromosome_6	8052788	8086472	33685
VTP2032	b2	g1	chromosome_2	5934312	5971624	37313
VTP2032	b2	g2	chromosome_2	5934312	5971613	37302
VTP2033	b1	g1	chromosome_16	3158124	3195478	37355
VTP2033	b1	g2	chromosome_16	3158124	3195413	37290
VTP2033	b2	g1	chromosome_16	3158117	3195478	37362
VTP2033	b2	g2	chromosome_16	3158117	3195413	37297
VTP2034	g1	b1	chromosome_3	980123	1022739	42617
VTP2034	g1	b2	chromosome_3	980123	1022821	42699
VTP2034	g2	b1	chromosome_3	980128	1022739	42612
VTP2034	g2	b2	chromosome_3	980128	1022821	42694
VTP2035	g1	b2	chromosome_2	1065303	1097966	32664
VTP2035	g2	b2	chromosome_2	1065311	1097966	32656
VTP2036	b1	g1	chromosome_9	7491645	7523394	31750
VTP2036	b1	g2	chromosome_9	7491645	7523393	31749
VTP2036	b2	g1	chromosome_9	7491549	7523394	31846
VTP2036	b2	g2	chromosome_9	7491549	7523393	31845
VTP2037	g1	b1	chromosome_4	1218994	1251857	32864
VTP2037	g1	b2	chromosome_4	1218994	1251902	32909
VTP2038	b1	g1	chromosome_4	738727	812358	73632
VTP2038	b1	g2	chromosome_4	738727	797048	58322
VTP2038	b2	g1	chromosome_4	810713	812358	1646
VTP2038	g2	b2	chromosome_4	796594	811243	14650
VTP2039	b2	g1	chromosome_3	8560900	8604926	44027
VTP2039	b2	g2	chromosome_3	8560900	8604864	43965
VTP2041	b1	g1	chromosome_11	351377	389215	37839
VTP2042	b1	g1	chromosome_2	6290933	6331115	40183
VTP2042	b1	g2	chromosome_2	6290933	6331106	40174
VTP2042	b2	g1	chromosome_2	6290877	6331115	40239
VTP2042	b2	g2	chromosome_2	6290877	6331106	40230
VTP2044	g1	b1	chromosome_9	2845301	2884040	38740
VTP2044	g2	b1	chromosome_9	2845312	2884040	38729
VTP2045	g1	b1	chromosome_9	6953615	6996433	42819
VTP2045	g1	b2	chromosome_9	6953615	6996479	42865
VTP2046	g1	b1	chromosome_16	5609742	5645478	35737
VTP2046	g2	b1	chromosome_16	5609752	5645478	35727
VTP2047	g1	b1	chromosome_6	5135845	5175790	39946
VTP2047	g1	b2	chromosome_6	5135845	5175884	40040
VTP2047	g2	b1	chromosome_6	5135860	5175790	39931
VTP2047	g2	b2	chromosome_6	5135860	5175884	40025
VTP2048	g1	b1	chromosome_1	4070551	4107417	36867
VTP2048	g2	b1	chromosome_1	4070558	4107417	36860
VTP2049	g1	b1	chromosome_1	2805389	2841764	36376
VTP2049	g2	b1	chromosome_1	2805394	2841764	36371
VTP2051	b1	g1	chromosome_10	2555986	2595414	39429
VTP2051	b1	g2	chromosome_10	2555986	2595411	39426
VTP2051	b2	g1	chromosome_10	2555930	2595414	39485
VTP2051	b2	g2	chromosome_10	2555930	2595411	39482
VTP2052	b1	g1	chromosome_10	2562573	2597511	34939
VTP2052	b1	g2	chromosome_10	2562573	2597503	34931
VTP2052	b2	g1	chromosome_10	2562521	2597511	34991
VTP2052	b2	g2	chromosome_10	2562521	2597503	34983
VTP2053	g1	b1	chromosome_4	1184428	1218920	34493
VTP2053	g1	b2	chromosome_4	1184428	1218972	34545
VTP2053	g2	b1	chromosome_4	1184434	1218920	34487
VTP2053	g2	b2	chromosome_4	1184434	1218972	34539
VTP2056	g1	b1	chromosome_13	2867221	2908576	41356
VTP2058	b1	g1	scaffold_19	70494	104413	33920
VTP2058	b2	g1	scaffold_19	70427	104413	33987
VTP2059	b2	g1	chromosome_5	2909073	2941036	31964
VTP2060	b1	g1	chromosome_2	6606687	6632878	26192
VTP2060	b2	g1	chromosome_2	6606643	6632878	26236
VTP2062	g1	b1	chromosome_2	2398694	2436887	38194
